customer_id,first_name,last_name,email,phone,city,country,updated_at
C1,Name1,Surname1,user1@mail.com,9000000001,Mumbai,India,2026-04-15 15:44:00
C2,Name2,Surname2,user2@mail.com,9000000002,Mumbai,India,2026-04-15 13:23:00
C3,Name3,Surname3,,9000000003,,India,2026-04-15 21:57:00
C4,Name4,Surname4,user4@mail.com,9000000004,Mumbai,India,2026-04-15 12:26:00
C5,Name5,Surname5,user5@mail.com,9000000005,Mumbai,India,2026-04-15 21:12:00
C6,Name6,Surname6,user6@mail.com,9000000006,Mumbai,India,2026-04-15 20:26:00
C7,Name7,Surname7,user7@mail.com,9000000007,Hyderabad,India,2026-04-15 13:22:00
C8,Name8,Surname8,user8@mail.com,9000000008,Hyderabad,India,2026-04-15 12:30:00
C9,Name9,Surname9,user9@mail.com,9000000009,,India,2026-04-15 23:39:00
C10,Name10,Surname10,user10@mail.com,9000000010,Hyderabad,India,2026-04-15 18:48:00
C11,Name11,Surname11,user11@mail.com,9000000011,Hyderabad,India,2026-04-15 19:26:00
C12,Name12,Surname12,,9000000012,Hyderabad,India,2026-04-15 22:38:00
C13,Name13,Surname13,user13@mail.com,9000000013,Hyderabad,India,2026-04-15 15:59:00
C14,Name14,Surname14,user14@mail.com,9000000014,Delhi,India,2026-04-15 23:40:00
C15,Name15,Surname15,user15@mail.com,9000000015,Mumbai,India,2026-04-15 16:43:00
,Name16,Surname16,,9000000016,Delhi,India,2026-04-15 19:41:00
C17,Name17,Surname17,user17@mail.com,9000000017,Mumbai,India,2026-04-15 13:45:00
C18,Name18,Surname18,user18@mail.com,9000000018,Delhi,India,2026-04-15 18:45:00
C19,Name19,Surname19,user19@mail.com,9000000019,Mumbai,India,2026-04-15 23:41:00
C20,Name20,Surname20,user20@mail.com,9000000020,Mumbai,India,2026-04-15 20:14:00
C21,Name21,Surname21,user21@mail.com,9000000021,,India,2026-04-15 22:22:00
C22,Name22,Surname22,user22@mail.com,9000000022,Delhi,India,2026-04-15 14:31:00
C23,Name23,Surname23,,9000000023,Mumbai,India,2026-04-15 15:30:00
C24,Name24,Surname24,user24@mail.com,9000000024,Hyderabad,India,2026-04-15 12:52:00
C25,Name25,Surname25,user25@mail.com,9000000025,Mumbai,India,2026-04-15 15:25:00
C26,Name26,Surname26,user26@mail.com,9000000026,,India,2026-04-15 21:38:00
C27,Name27,Surname27,user27@mail.com,9000000027,,India,2026-04-15 20:14:00
C28,Name28,Surname28,user28@mail.com,9000000028,Mumbai,India,2026-04-15 13:28:00
C29,Name29,Surname29,,9000000029,,India,2026-04-15 13:55:00
C30,Name30,Surname30,user30@mail.com,9000000030,,India,2026-04-15 15:36:00
C31,Name31,Surname31,user31@mail.com,9000000031,Hyderabad,India,2026-04-15 18:48:00
C32,Name32,Surname32,user32@mail.com,9000000032,Hyderabad,India,2026-04-15 22:33:00
C33,Name33,Surname33,user33@mail.com,9000000033,Mumbai,India,2026-04-15 20:26:00
C34,Name34,Surname34,user34@mail.com,9000000034,,India,2026-04-15 15:42:00
C35,Name35,Surname35,user35@mail.com,9000000035,Hyderabad,India,2026-04-15 10:43:00
C36,Name36,Surname36,user36@mail.com,9000000036,,India,2026-04-15 22:22:00
C37,Name37,Surname37,user37@mail.com,9000000037,Hyderabad,India,2026-04-15 14:46:00
C38,Name38,Surname38,user38@mail.com,9000000038,Mumbai,India,2026-04-15 23:16:00
C39,Name39,Surname39,user39@mail.com,9000000039,Mumbai,India,2026-04-15 12:16:00
,Name40,Surname40,user40@mail.com,9000000040,Hyderabad,India,2026-04-15 22:37:00
C41,Name41,Surname41,user41@mail.com,9000000041,Delhi,India,2026-04-15 13:16:00
C42,Name42,Surname42,user42@mail.com,9000000042,,India,2026-04-15 10:59:00
C43,Name43,Surname43,user43@mail.com,9000000043,Delhi,India,2026-04-15 11:23:00
C44,Name44,Surname44,user44@mail.com,9000000044,Hyderabad,India,2026-04-15 20:53:00
C45,Name45,Surname45,user45@mail.com,9000000045,Mumbai,India,2026-04-15 18:14:00
C46,Name46,Surname46,user46@mail.com,9000000046,,India,2026-04-15 14:33:00
C47,Name47,Surname47,user47@mail.com,9000000047,Delhi,India,2026-04-15 18:21:00
C48,Name48,Surname48,user48@mail.com,9000000048,,India,2026-04-15 10:20:00
C49,Name49,Surname49,user49@mail.com,9000000049,,India,2026-04-15 14:54:00
C50,Name50,Surname50,user50@mail.com,9000000050,Mumbai,India,2026-04-15 11:19:00
C51,Name51,Surname51,user51@mail.com,9000000051,Hyderabad,India,2026-04-15 18:55:00
C52,Name52,Surname52,,9000000052,Mumbai,India,2026-04-15 15:15:00
C53,Name53,Surname53,user53@mail.com,9000000053,Hyderabad,India,2026-04-15 18:50:00
C54,Name54,Surname54,user54@mail.com,9000000054,Delhi,India,2026-04-15 20:29:00
C55,Name55,Surname55,user55@mail.com,9000000055,Delhi,India,2026-04-15 17:56:00
C56,Name56,Surname56,user56@mail.com,9000000056,,India,2026-04-15 23:55:00
C57,Name57,Surname57,user57@mail.com,9000000057,Delhi,India,2026-04-15 16:34:00
C58,Name58,Surname58,user58@mail.com,9000000058,Hyderabad,India,2026-04-15 21:42:00
C59,Name59,Surname59,user59@mail.com,9000000059,,India,2026-04-15 14:51:00
C60,Name60,Surname60,user60@mail.com,9000000060,Hyderabad,India,2026-04-15 15:10:00
C61,Name61,Surname61,user61@mail.com,9000000061,Mumbai,India,2026-04-15 13:19:00
C62,Name62,Surname62,user62@mail.com,9000000062,Hyderabad,India,2026-04-15 18:20:00
C63,Name63,Surname63,,9000000063,,India,2026-04-15 17:36:00
C64,Name64,Surname64,user64@mail.com,9000000064,Delhi,India,2026-04-15 23:48:00
C65,Name65,Surname65,,9000000065,Hyderabad,India,2026-04-15 22:38:00
C66,Name66,Surname66,user66@mail.com,9000000066,Hyderabad,India,2026-04-15 10:34:00
C67,Name67,Surname67,user67@mail.com,9000000067,Hyderabad,India,2026-04-15 21:44:00
C68,Name68,Surname68,user68@mail.com,9000000068,Mumbai,India,2026-04-15 21:30:00
C69,Name69,Surname69,user69@mail.com,9000000069,Mumbai,India,2026-04-15 14:42:00
C70,Name70,Surname70,,9000000070,Hyderabad,India,2026-04-15 23:41:00
C71,Name71,Surname71,user71@mail.com,9000000071,Delhi,India,2026-04-15 22:11:00
C72,Name72,Surname72,user72@mail.com,9000000072,Delhi,India,2026-04-15 22:53:00
